text,label
심한 호흡곤란과 함께 가슴 통증이 지속되고 있는 환자,1
긴급 수술이 필요한 큰 출혈으로 혈액이 과도하게 유출되고 있는 환자,1
급성 심근경색으로 인한 심지혈관 폐색으로 심부전의 증상을 보이고 있는 환자,1
중증적인 두경부 손상으로 혈액이 많이 흐르고 출혈이 멈추지 않는 환자,1
신체의 일부분이 갑작스럽게 마비되어 움직일 수 없는 환자,1
급성 뇌출혈로 의식이 뚝뚝 떠는 환자,1
중증 중독으로 혼수 상태에 빠진 환자,1
심장마비로 인한 협심증으로 의식을 회복하지 못한 환자,1
크게 다친 상태에서 의식을 잃은 환자,1
화재로부터 발생한 중증화상을 입은 환자,1
급성 심근경색을 의심할 만한 가슴 통증을 호소하는 환자,1
급성 중독으로 혼수상태에 빠진 환자,1
지속적인 중증적 호흡곤란으로 산소 요구량이 증가된 환자,1
심한 지속적인 정신병적 증세를 보이는 환자,1
중증의 타박상으로 충격 상태에 있는 환자,1
급성 심부전으로 호흡곤란과 함께 의식상태가 뚝뚝 떨어진 환자,1
음주나 약물 과다 복용으로 혼수상태에 빠진 환자,1
가슴 통증으로 의식이 불명확한 환자,1
급성 심부전으로 호흡도 어렵고 의식도 낮은 환자,1
정신적인 문제로 인한 자해 시도를 하는 환자,1
급성 고혈압으로 인해 의식을 잃어버린 환자,1
가슴 통증에 호흡곤란이 동반되는 환자,1
신경계 질환으로 의식이 뚝뚝 떨어지는 환자,1
크게 다친 부위가 출혈하여 혈액이 흐르는 환자,1
급성 뇌출혈로 인해 의식을 잃어버린 환자,1
긴급 중독 증상으로 혼수상태에 빠진 환자,1
중증한 두경부 손상 후 출혈이 멈추지 않는 환자,1
긴급 수술이 필요한 큰 출혈로 혈액이 과도하게 소실되고 있는 환자,1
급성 심부전으로 호흡이 곤란한 상태에 있는 환자,1
대출혈로 인한 출혈이 멈추지 않는 환자,1
긴급 수술이 필요한 크게 다친 상태의 환자,1
급성 지각 장애로 현실과 인지기능이 혼동되는 환자,1
중증 정신 마비로 혼란 상태에 빠진 환자,1
급성 중독으로 인해 혼수에 빠진 환자,1
심장마비로 인한 심부전 증상을 보이는 환자,1
화재로부터 온 중증 화상 상태인 환자,1
긴급 중독으로 인해 혼수 상태인 환자,1
긴급 조기 출혈로 인한 응급 상황에 처한 환자,1
긴급 수술이 필요한 중증 중독 환자,1
긴급 수술이 필요한 큰 출혈로 혈액이 크게 소실된 환자,1
긴급 중독으로 혼수 상태에 빠진 환자,1
긴급 중독으로 인한 의식불명 환자,1
긴급 심부전으로 호흡곤란을 호소하는 환자,1
위급한 호흡곤란으로 심장 마비에 이르는 환자,1
긴급 수술이 필요한 중증 상태인 환자,1
긴급 중독으로 인한 의식상태 이상 환자,1
긴급 중독으로 인한 자기폭행을 시도하고 있는 환자,1
긴급 수술이 필요한 큰 출혈로 혈액이 과도하게 유출되는 환자,1
긴급 수술이 필요한 크게 다친 상태의 환자,1
긴급 중독으로 인한 혼수 상태의 환자,1
길이 자해를 시도하는 중요한 흉부 출혈 환자,1
긴급 중독으로 인한 혼수 상태의 의식 명확하지 못한 환자,1
긴급 중독으로 인한 혼수 상태의 정신 생리 이상 환자,1
긴급 중독으로 인한 약물 과다 복용으로 혼령 상태의 환자,1
긴급 중독으로 인한 혼신에 난 급성 중독 증상이 있는 환자,1
위급한 호흡곤란 증세와 심장 마비의 의심이 있는 환자,1
긴급 수술이 필요한 중증 중독 상태인 환자,1
신체의 긴급적인 응급처치를 요하는 크게 다친 환자,1
심장마비로 인한 응급 상황,1
심폐소생술이 필요한 상태,1
급성 뇌졸중으로 인한 신속한 의료 처리가 필요한 상황,1
심근경색으로 생명이 위험한 상태,1
급성 호흡곤란으로 인한 응급 처치가 필요한 상황,1
사지 절단 상태로 출혈이 심각한 상황,1
